 Periods ,solar_roof,temp,heat_1,elec_1,heat_2,elec_2,heat_3,elec_3
847,0,1,1.26E+03,5.41E+02,2.65E+02,1.08E+02,3.01E+01,1.35E+01
848,0.00283595,1.1,1.28E+03,1.08E+03,2.65E+02,2.16E+02,3.00E+01,2.70E+01
849,0.047402952,1.2,1.29E+03,5.41E+02,2.71E+02,1.08E+02,3.46E+01,1.35E+01
850,0.130580407,1,1.30E+03,4.21E+02,2.65E+02,8.39E+01,3.19E+01,1.05E+01
851,0.201611722,1.3,1.32E+03,4.21E+02,2.66E+02,8.39E+01,3.08E+01,1.05E+01
852,0.240371415,1.6,1.32E+03,8.42E+02,2.71E+02,1.68E+02,3.39E+01,2.10E+01
853,0.257175259,2.2,1.33E+03,1.20E+03,2.68E+02,2.40E+02,3.18E+01,3.00E+01
854,0.263015369,2.7,1.34E+03,5.41E+02,2.68E+02,1.08E+02,3.46E+01,1.35E+01
855,0.214339883,2.6,1.35E+03,4.21E+02,2.76E+02,8.39E+01,3.19E+01,1.05E+01
856,0.141156731,2.3,1.36E+03,4.21E+02,2.76E+02,8.39E+01,3.65E+01,1.05E+01
857,0.042676908,2.2,1.37E+03,8.42E+02,2.75E+02,1.68E+02,3.31E+01,2.10E+01
858,0.002684454,2.1,1.41E+03,1.20E+03,2.87E+02,2.40E+02,3.39E+01,3.00E+01
859,0,1.8,1.42E+03,8.42E+02,2.87E+02,1.68E+02,3.65E+01,2.10E+01
860,0,1.7,1.44E+03,7.21E+02,2.85E+02,1.44E+02,3.50E+01,1.80E+01
861,0,1.8,1.46E+03,4.21E+02,2.97E+02,8.39E+01,3.89E+01,1.05E+01
862,0,1.7,1.47E+03,4.21E+02,2.91E+02,8.39E+01,3.68E+01,1.05E+01
863,0,1.5,1.47E+03,4.21E+02,2.90E+02,8.39E+01,3.72E+01,1.05E+01
864,0,1.1,1.47E+03,1.81E+02,2.96E+02,3.60E+01,3.50E+01,4.50E+00
865,0,1,1.47E+03,1.20E+02,2.91E+02,2.40E+01,3.64E+01,3.00E+00
866,0,0.8,1.46E+03,1.20E+02,2.95E+02,2.40E+01,3.50E+01,3.00E+00
867,0,0.7,1.47E+03,1.20E+02,2.89E+02,2.40E+01,3.65E+01,3.00E+00
868,0,0.5,1.46E+03,1.20E+02,2.90E+02,2.40E+01,3.81E+01,3.00E+00
869,0,0.4,1.46E+03,1.20E+02,3.01E+02,2.40E+01,3.55E+01,3.00E+00
870,0,0.2,1.47E+03,1.20E+02,2.96E+02,2.40E+01,3.64E+01,3.00E+00
871,0,0,1.46E+03,5.41E+02,2.94E+02,1.08E+02,3.64E+01,1.35E+01
872,0.003309743,0.1,1.46E+03,1.08E+03,3.02E+02,2.16E+02,3.65E+01,2.70E+01
873,0.086663894,1,1.45E+03,5.41E+02,2.88E+02,1.08E+02,3.43E+01,1.35E+01
874,0.186347742,2.1,1.44E+03,4.21E+02,2.87E+02,8.39E+01,3.63E+01,1.05E+01
875,0.261077739,3.3,1.42E+03,4.21E+02,2.91E+02,8.39E+01,3.51E+01,1.05E+01
876,0.325589492,3.4,1.40E+03,8.42E+02,2.81E+02,1.68E+02,3.50E+01,2.10E+01
877,0.348559665,3.6,1.37E+03,1.20E+03,2.76E+02,2.40E+02,3.63E+01,3.00E+01
878,0.351743764,4,1.36E+03,5.41E+02,2.79E+02,1.08E+02,3.18E+01,1.35E+01
879,0.314569195,3.7,1.36E+03,4.21E+02,2.73E+02,8.39E+01,3.45E+01,1.05E+01
880,0.221208188,3.3,1.33E+03,4.21E+02,2.70E+02,8.39E+01,3.36E+01,1.05E+01
881,0.106823202,2.8,1.33E+03,8.42E+02,2.74E+02,1.68E+02,3.13E+01,2.10E+01
882,0.006920416,1.9,1.31E+03,1.20E+03,2.64E+02,2.40E+02,3.48E+01,3.00E+01
883,0,1.5,1.28E+03,8.42E+02,2.65E+02,1.68E+02,3.00E+01,2.10E+01
884,0,1.4,1.27E+03,7.21E+02,2.72E+02,1.44E+02,3.05E+01,1.80E+01
885,0,1.1,1.26E+03,4.21E+02,2.63E+02,8.39E+01,3.20E+01,1.05E+01
886,0,1,1.25E+03,4.21E+02,2.65E+02,8.39E+01,3.16E+01,1.05E+01
887,0,0.9,1.25E+03,4.21E+02,2.68E+02,8.39E+01,3.00E+01,1.05E+01
888,0,1.4,1.23E+03,1.81E+02,2.62E+02,3.60E+01,3.00E+01,4.50E+00
889,0,1.9,1.24E+03,1.20E+02,2.63E+02,2.40E+01,3.06E+01,3.00E+00
890,0,1.9,1.23E+03,1.20E+02,2.69E+02,2.40E+01,3.14E+01,3.00E+00
891,0,1.9,1.23E+03,1.20E+02,2.61E+02,2.40E+01,3.06E+01,3.00E+00
892,0,1.8,1.23E+03,1.20E+02,2.62E+02,2.40E+01,3.00E+01,3.00E+00
893,0,2.1,1.23E+03,1.20E+02,2.68E+02,2.40E+01,2.99E+01,3.00E+00
894,0,2,1.23E+03,1.20E+02,2.60E+02,2.40E+01,3.00E+01,3.00E+00
895,0,1.9,1.22E+03,5.41E+02,2.61E+02,1.08E+02,3.12E+01,1.35E+01
896,0.003436094,1.9,1.22E+03,1.08E+03,2.67E+02,2.16E+02,3.14E+01,2.70E+01
897,0.106608405,2,1.22E+03,5.41E+02,2.57E+02,1.08E+02,2.99E+01,1.35E+01
898,0.285090487,2,1.22E+03,4.21E+02,2.63E+02,8.39E+01,3.00E+01,1.05E+01
899,0.454732849,2,1.22E+03,4.21E+02,2.63E+02,8.39E+01,2.99E+01,1.05E+01
900,0.634813992,1.8,1.22E+03,8.42E+02,2.59E+02,1.68E+02,3.07E+01,2.10E+01
901,0.662871829,1.7,1.23E+03,1.20E+03,2.62E+02,2.40E+02,3.13E+01,3.00E+01
902,0.530145278,1.8,1.23E+03,5.41E+02,2.68E+02,1.08E+02,3.08E+01,1.35E+01
903,0.489155773,1.9,1.23E+03,4.21E+02,2.57E+02,8.39E+01,2.99E+01,1.05E+01
904,0.328083032,2.2,1.22E+03,4.21E+02,2.56E+02,8.39E+01,3.01E+01,1.05E+01
905,0.119021473,2.2,1.23E+03,8.42E+02,2.59E+02,1.68E+02,2.99E+01,2.10E+01
906,0.007293076,2,1.23E+03,1.20E+03,2.54E+02,2.40E+02,3.14E+01,3.00E+01
907,0,2,1.23E+03,8.42E+02,2.56E+02,1.68E+02,3.13E+01,2.10E+01
908,0,2,1.22E+03,7.21E+02,2.58E+02,1.44E+02,3.00E+01,1.80E+01
909,0,1.8,1.22E+03,4.21E+02,2.51E+02,8.39E+01,3.00E+01,1.05E+01
910,0,1.5,1.22E+03,4.21E+02,2.49E+02,8.39E+01,2.99E+01,1.05E+01
911,0,1.6,1.21E+03,4.21E+02,2.56E+02,8.39E+01,3.07E+01,1.05E+01
912,0,1.5,1.21E+03,1.81E+02,2.50E+02,3.60E+01,2.99E+01,4.50E+00
913,0,1.8,1.21E+03,1.20E+02,2.51E+02,2.40E+01,3.14E+01,3.00E+00
914,0,1.7,1.21E+03,1.20E+02,2.55E+02,2.40E+01,2.99E+01,3.00E+00
915,0,1.8,1.20E+03,1.20E+02,2.49E+02,2.40E+01,3.00E+01,3.00E+00
916,0,1.9,1.20E+03,1.20E+02,2.48E+02,2.40E+01,2.99E+01,3.00E+00
917,0,1.9,1.19E+03,1.20E+02,2.49E+02,2.40E+01,3.00E+01,3.00E+00
918,0,1.7,1.19E+03,1.20E+02,2.42E+02,2.40E+01,2.99E+01,3.00E+00
919,0,1.5,1.18E+03,5.41E+02,2.39E+02,1.08E+02,3.00E+01,1.35E+01
920,0.001233008,1.4,1.18E+03,1.08E+03,2.42E+02,2.16E+02,2.99E+01,2.70E+01
921,0.012961023,1.6,1.18E+03,5.41E+02,2.38E+02,1.08E+02,3.00E+01,1.35E+01
922,0.030807162,2.8,1.17E+03,4.21E+02,2.39E+02,8.39E+01,2.99E+01,1.05E+01
923,0.043279837,3.3,1.17E+03,4.21E+02,2.38E+02,8.39E+01,2.81E+01,1.05E+01
924,0.051728682,4.5,1.14E+03,8.42E+02,2.31E+02,1.68E+02,3.00E+01,2.10E+01
925,0.052988194,4.8,1.12E+03,1.20E+03,2.25E+02,2.40E+02,2.73E+01,3.00E+01
926,0.051627038,3.9,1.11E+03,5.41E+02,2.18E+02,1.08E+02,2.69E+01,1.35E+01
